quarter	S	I	R
1	6520	308	0
2	6447	326	110
3	6487	344	110
4	6532	359	110
5	6601	373	110
6	6544	398	211
7	6606	410	211
8	6649	431	211
9	6706	453	211
10	6647	466	308
11	6707	485	308
12	6754	501	308
13	6802	519	308
14	6784	527	398
15	6846	543	398
16	6906	565	398
17	6949	584	398
18	6914	595	500
19	6971	611	500
20	7011	634	500
21	7083	649	500
22	7043	670	599
23	7102	689	599
24	7172	701	599
25	7234	713	599
26	7167	726	715
27	7232	741	715
28	7286	760	715
29	7345	777	715
30	7316	781	820
31	7397	795	820
32	7470	810	820
33	7537	828	820
34	7470	836	954
35	7520	860	954
36	7583	876	954
37	7645	889	954
38	7617	891	1075
39	7695	904	1075
40	7765	922	1075
