quarter	susceptibles	infected	removed
1	95671	4798	723
2	96114	4958	1399
3	96604	5097	2062
4	97054	5266	2703
5	97474	5431	3349
6	97985	5553	4007
7	98479	5684	4665
8	99017	5840	5316
9	99500	5948	6007
10	100156	6032	6678
11	100779	6133	7354
12	101314	6258	8026
13	101796	6368	8752
14	102394	6451	9424
15	102943	6545	10138
16	103506	6641	10860
17	104098	6718	11526
18	104680	6773	12238
19	105212	6853	12955
20	105791	6920	13658
21	106216	6999	14423
22	106924	7034	15121
23	107649	7101	15749
24	108190	7175	16484
25	108909	7210	17171
26	109612	7263	17912
27	110267	7300	18626
28	110974	7299	19379
29	111586	7347	20134
30	112334	7378	20862
31	113005	7406	21606
32	113705	7414	22392
33	114415	7441	23152
34	115205	7456	23877
35	115935	7467	24662
36	116667	7486	25427
37	117413	7479	26198
38	118172	7508	26949
39	118924	7517	27729
40	119799	7504	28450
41	120469	7496	29270
42	121345	7503	30035
43	122062	7491	30866
44	122976	7502	31596
45	123757	7504	32363
46	124623	7512	33127
47	125500	7492	33895
48	126257	7467	34711
49	127003	7450	35599
50	127877	7431	36435
51	128673	7425	37303
52	129466	7439	38130
53	130326	7412	39010
54	131195	7413	39828
55	132087	7394	40658
56	132901	7384	41482
57	133730	7369	42313
58	134661	7356	43180
59	135541	7343	44042
60	136374	7332	44942
61	137230	7325	45827
62	138183	7312	46703
63	139094	7299	47541
64	139959	7278	48453
65	140877	7273	49297
66	141892	7253	50189
67	142868	7256	51099
68	143743	7233	51991
69	144659	7212	52918
70	145693	7185	53802
71	146692	7163	54726
72	147667	7132	55679
73	148579	7118	56615
74	149684	7095	57540
75	150708	7067	58501
76	151752	7042	59476
77	152782	7026	60415
78	153838	7000	61353
79	154944	6961	62324
80	156025	6938	63259
81	157052	6896	64225
82	158126	6871	65243
83	159203	6840	66236
84	160200	6805	67264
85	161174	6789	68286
86	162271	6762	69297
87	163373	6732	70301
88	164471	6701	71241
89	165551	6694	72207
90	166651	6658	73227
91	167733	6635	74291
92	168798	6599	75375
93	169799	6567	76431
94	170965	6544	77483
95	172044	6511	78547
96	173040	6490	79599
97	174119	6464	80655
98	175261	6426	81729
99	176268	6389	82841
100	177360	6368	83890
101	178419	6339	85005
102	179691	6310	86079
103	180816	6292	87206
104	181868	6267	88397
105	183065	6258	89482
106	184407	6239	90565
107	185649	6218	91726
108	186895	6185	92874
109	188214	6161	93942
110	189608	6133	95083
111	190914	6114	96289
112	192202	6082	97459
113	193474	6054	98625
114	194986	6033	99725
115	196494	5994	100832
116	197786	5977	102006
117	199156	5960	103161
118	200705	5925	104372
119	202269	5906	105572
120	203746	5877	106745
